dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 week,May,05/02/2023 00:00:00,2.91
1 week,May,05/03/2023 00:00:00,2.91
1 week,May,05/04/2023 00:00:00,2.902
1 week,May,05/05/2023 00:00:00,2.95
1 week,May,05/08/2023 00:00:00,3.012
1 week,May,05/09/2023 00:00:00,3.078
1 week,May,05/10/2023 00:00:00,3.096
1 week,May,05/11/2023 00:00:00,3.126
1 week,May,05/12/2023 00:00:00,3.127
1 week,May,05/15/2023 00:00:00,3.145
1 week,May,05/16/2023 00:00:00,3.147
1 week,May,05/17/2023 00:00:00,3.112
1 week,May,05/18/2023 00:00:00,3.137
1 week,May,05/19/2023 00:00:00,3.129
1 week,May,05/22/2023 00:00:00,3.132
1 week,May,05/23/2023 00:00:00,3.152
1 week,May,05/24/2023 00:00:00,3.115
1 week,May,05/25/2023 00:00:00,3.152
1 week,May,05/26/2023 00:00:00,3.125
1 week,May,05/29/2023 00:00:00,3.146
1 week,May,05/30/2023 00:00:00,3.14
1 week,May,05/31/2023 00:00:00,3.122
1 week,June,06/01/2023 00:00:00,3.154
1 week,June,06/02/2023 00:00:00,3.121
1 week,June,06/05/2023 00:00:00,3.134
1 week,June,06/06/2023 00:00:00,3.152
1 week,June,06/07/2023 00:00:00,3.136
1 week,June,06/08/2023 00:00:00,3.153
1 week,June,06/09/2023 00:00:00,3.128
1 week,June,06/12/2023 00:00:00,3.136
1 week,June,06/13/2023 00:00:00,3.131
1 week,June,06/14/2023 00:00:00,3.159
1 week,June,06/15/2023 00:00:00,3.202
1 week,June,06/16/2023 00:00:00,3.234
1 week,June,06/19/2023 00:00:00,3.209
1 week,June,06/20/2023 00:00:00,3.312
1 week,June,06/21/2023 00:00:00,3.363
1 week,June,06/22/2023 00:00:00,3.401
1 week,June,06/23/2023 00:00:00,3.396
1 week,June,06/26/2023 00:00:00,3.382
1 week,June,06/27/2023 00:00:00,3.394
1 week,June,06/28/2023 00:00:00,3.391
1 week,June,06/29/2023 00:00:00,3.415
1 week,June,06/30/2023 00:00:00,3.362
1 week,July,07/03/2023 00:00:00,3.388
1 week,July,07/04/2023 00:00:00,3.378
1 week,July,07/05/2023 00:00:00,3.388
1 week,July,07/06/2023 00:00:00,3.398
1 week,July,07/07/2023 00:00:00,3.393
1 week,July,07/10/2023 00:00:00,3.395
1 week,July,07/11/2023 00:00:00,3.386
1 week,July,07/12/2023 00:00:00,3.387
1 week,July,07/13/2023 00:00:00,3.391
1 week,July,07/14/2023 00:00:00,3.393
1 week,July,07/17/2023 00:00:00,3.381
1 week,July,07/18/2023 00:00:00,3.379
1 week,July,07/19/2023 00:00:00,3.395
1 week,July,07/20/2023 00:00:00,3.402
1 week,July,07/21/2023 00:00:00,3.394
1 week,July,07/24/2023 00:00:00,3.401
1 week,July,07/25/2023 00:00:00,3.392
1 week,July,07/26/2023 00:00:00,3.401
1 week,July,07/27/2023 00:00:00,3.422
1 week,July,07/28/2023 00:00:00,3.465
1 week,July,07/31/2023 00:00:00,3.455
1 week,August,08/01/2023 00:00:00,3.532
1 week,August,08/02/2023 00:00:00,3.61
1 week,August,08/03/2023 00:00:00,3.638
1 week,August,08/04/2023 00:00:00,3.643
1 week,August,08/07/2023 00:00:00,3.637
1 week,August,08/08/2023 00:00:00,3.64
1 week,August,08/09/2023 00:00:00,3.647
1 week,August,08/10/2023 00:00:00,3.647
1 week,August,08/11/2023 00:00:00,3.628
1 week,August,08/14/2023 00:00:00,3.641
1 week,August,08/15/2023 00:00:00,3.608
1 week,August,08/16/2023 00:00:00,3.637
1 week,August,08/17/2023 00:00:00,3.64
1 week,August,08/18/2023 00:00:00,3.634
1 week,August,08/21/2023 00:00:00,3.631
1 week,August,08/22/2023 00:00:00,3.628
1 week,August,08/23/2023 00:00:00,3.64
1 week,August,08/24/2023 00:00:00,3.638
1 week,August,08/25/2023 00:00:00,3.648
1 week,August,08/28/2023 00:00:00,3.628
1 week,August,08/29/2023 00:00:00,3.638
1 week,August,08/30/2023 00:00:00,3.651
1 week,August,08/31/2023 00:00:00,3.645
1 week,September,09/01/2023 00:00:00,3.642
1 week,September,09/04/2023 00:00:00,3.636
1 week,September,09/05/2023 00:00:00,3.622
1 week,September,09/06/2023 00:00:00,3.628
1 week,September,09/07/2023 00:00:00,3.645
1 week,September,09/08/2023 00:00:00,3.659
1 week,September,09/11/2023 00:00:00,3.639
1 week,September,09/12/2023 00:00:00,3.632
1 week,September,09/13/2023 00:00:00,3.651
1 week,September,09/14/2023 00:00:00,3.674
1 week,September,09/15/2023 00:00:00,3.69
1 week,September,09/18/2023 00:00:00,3.715
1 week,September,09/19/2023 00:00:00,3.777
1 week,September,09/20/2023 00:00:00,3.878
1 week,September,09/21/2023 00:00:00,3.895
1 week,September,09/22/2023 00:00:00,3.875
1 week,September,09/25/2023 00:00:00,3.883
1 week,September,09/26/2023 00:00:00,3.882
1 week,September,09/27/2023 00:00:00,3.881
1 week,September,09/28/2023 00:00:00,3.892
1 week,September,09/29/2023 00:00:00,3.872
1 week,October,10/02/2023 00:00:00,3.858
1 week,October,10/03/2023 00:00:00,3.889
1 week,October,10/04/2023 00:00:00,3.885
1 week,October,10/05/2023 00:00:00,3.885
1 week,October,10/06/2023 00:00:00,3.898
1 week,October,10/09/2023 00:00:00,3.896
1 week,October,10/10/2023 00:00:00,3.878
1 week,October,10/11/2023 00:00:00,3.897
1 week,October,10/12/2023 00:00:00,3.882
1 week,October,10/13/2023 00:00:00,3.874
1 week,October,10/16/2023 00:00:00,3.862
1 week,October,10/17/2023 00:00:00,3.876
1 week,October,10/18/2023 00:00:00,3.891
1 week,October,10/19/2023 00:00:00,3.879
1 week,October,10/20/2023 00:00:00,3.89
1 week,October,10/23/2023 00:00:00,3.883
1 week,October,10/24/2023 00:00:00,3.88
1 week,October,10/25/2023 00:00:00,3.875
1 week,October,10/26/2023 00:00:00,3.881
1 week,October,10/27/2023 00:00:00,3.872
1 week,October,10/30/2023 00:00:00,3.883
1 week,October,10/31/2023 00:00:00,3.887
1 month,May,05/02/2023 00:00:00,3.093
1 month,May,05/03/2023 00:00:00,3.088
1 month,May,05/04/2023 00:00:00,3.112
1 month,May,05/05/2023 00:00:00,3.099
1 month,May,05/08/2023 00:00:00,3.138
1 month,May,05/09/2023 00:00:00,3.161
1 month,May,05/10/2023 00:00:00,3.146
1 month,May,05/11/2023 00:00:00,3.159
1 month,May,05/12/2023 00:00:00,3.162
1 month,May,05/15/2023 00:00:00,3.15
1 month,May,05/16/2023 00:00:00,3.158
1 month,May,05/17/2023 00:00:00,3.152
1 month,May,05/18/2023 00:00:00,3.151
1 month,May,05/19/2023 00:00:00,3.134
1 month,May,05/22/2023 00:00:00,3.135
1 month,May,05/23/2023 00:00:00,3.142
1 month,May,05/24/2023 00:00:00,3.138
1 month,May,05/25/2023 00:00:00,3.198
1 month,May,05/26/2023 00:00:00,3.199
1 month,May,05/29/2023 00:00:00,3.213
1 month,May,05/30/2023 00:00:00,3.214
1 month,May,05/31/2023 00:00:00,3.211
1 month,June,06/01/2023 00:00:00,3.21
1 month,June,06/02/2023 00:00:00,3.218
1 month,June,06/05/2023 00:00:00,3.222
1 month,June,06/06/2023 00:00:00,3.254
1 month,June,06/07/2023 00:00:00,3.271
1 month,June,06/08/2023 00:00:00,3.258
1 month,June,06/09/2023 00:00:00,3.29
1 month,June,06/12/2023 00:00:00,3.315
1 month,June,06/13/2023 00:00:00,3.328
1 month,June,06/14/2023 00:00:00,3.338
1 month,June,06/15/2023 00:00:00,3.35
1 month,June,06/16/2023 00:00:00,3.355
1 month,June,06/19/2023 00:00:00,3.372
1 month,June,06/20/2023 00:00:00,3.383
1 month,June,06/21/2023 00:00:00,3.439
1 month,June,06/22/2023 00:00:00,3.413
1 month,June,06/23/2023 00:00:00,3.448
1 month,June,06/26/2023 00:00:00,3.429
1 month,June,06/27/2023 00:00:00,3.411
1 month,June,06/28/2023 00:00:00,3.418
1 month,June,06/29/2023 00:00:00,3.415
1 month,June,06/30/2023 00:00:00,3.399
1 month,July,07/03/2023 00:00:00,3.385
