dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 week,May,05/04/2020 00:00:00,-0.5
1 week,May,05/05/2020 00:00:00,-0.514
1 week,May,05/06/2020 00:00:00,-0.511
1 week,May,05/07/2020 00:00:00,-0.504
1 week,May,05/08/2020 00:00:00,-0.503
1 week,May,05/11/2020 00:00:00,-0.512
1 week,May,05/12/2020 00:00:00,-0.513
1 week,May,05/13/2020 00:00:00,-0.518
1 week,May,05/14/2020 00:00:00,-0.515
1 week,May,05/15/2020 00:00:00,-0.512
1 week,May,05/18/2020 00:00:00,-0.518
1 week,May,05/19/2020 00:00:00,-0.523
1 week,May,05/20/2020 00:00:00,-0.508
1 week,May,05/21/2020 00:00:00,-0.512
1 week,May,05/22/2020 00:00:00,-0.528
1 week,May,05/25/2020 00:00:00,-0.518
1 week,May,05/26/2020 00:00:00,-0.513
1 week,May,05/27/2020 00:00:00,-0.518
1 week,May,05/28/2020 00:00:00,-0.504
1 week,May,05/29/2020 00:00:00,-0.511
1 week,June,06/01/2020 00:00:00,-0.52
1 week,June,06/02/2020 00:00:00,-0.519
1 week,June,06/03/2020 00:00:00,-0.518
1 week,June,06/04/2020 00:00:00,-0.521
1 week,June,06/05/2020 00:00:00,-0.519
1 week,June,06/08/2020 00:00:00,-0.516
1 week,June,06/09/2020 00:00:00,-0.508
1 week,June,06/10/2020 00:00:00,-0.523
1 week,June,06/11/2020 00:00:00,-0.513
1 week,June,06/12/2020 00:00:00,-0.515
1 week,June,06/15/2020 00:00:00,-0.523
1 week,June,06/16/2020 00:00:00,-0.515
1 week,June,06/17/2020 00:00:00,-0.523
1 week,June,06/18/2020 00:00:00,-0.522
1 week,June,06/19/2020 00:00:00,-0.516
1 week,June,06/22/2020 00:00:00,-0.519
1 week,June,06/23/2020 00:00:00,-0.523
1 week,June,06/24/2020 00:00:00,-0.513
1 week,June,06/25/2020 00:00:00,-0.522
1 week,June,06/26/2020 00:00:00,-0.514
1 week,June,06/29/2020 00:00:00,-0.518
1 week,June,06/30/2020 00:00:00,-0.518
1 week,July,07/01/2020 00:00:00,-0.524
1 week,July,07/02/2020 00:00:00,-0.523
1 week,July,07/03/2020 00:00:00,-0.519
1 week,July,07/06/2020 00:00:00,-0.52
1 week,July,07/07/2020 00:00:00,-0.521
1 week,July,07/08/2020 00:00:00,-0.533
1 week,July,07/09/2020 00:00:00,-0.523
1 week,July,07/10/2020 00:00:00,-0.522
1 week,July,07/13/2020 00:00:00,-0.528
1 week,July,07/14/2020 00:00:00,-0.536
1 week,July,07/15/2020 00:00:00,-0.533
1 week,July,07/16/2020 00:00:00,-0.528
1 week,July,07/17/2020 00:00:00,-0.513
1 week,July,07/20/2020 00:00:00,-0.523
1 week,July,07/21/2020 00:00:00,-0.535
1 week,July,07/22/2020 00:00:00,-0.531
1 week,July,07/23/2020 00:00:00,-0.539
1 week,July,07/24/2020 00:00:00,-0.521
1 week,July,07/27/2020 00:00:00,-0.538
1 week,July,07/28/2020 00:00:00,-0.527
1 week,July,07/29/2020 00:00:00,-0.541
1 week,July,07/30/2020 00:00:00,-0.533
1 week,July,07/31/2020 00:00:00,-0.523
1 week,August,08/03/2020 00:00:00,-0.537
1 week,August,08/04/2020 00:00:00,-0.534
1 week,August,08/05/2020 00:00:00,-0.533
1 week,August,08/06/2020 00:00:00,-0.527
1 week,August,08/07/2020 00:00:00,-0.525
1 week,August,08/10/2020 00:00:00,-0.543
1 week,August,08/11/2020 00:00:00,-0.535
1 week,August,08/12/2020 00:00:00,-0.537
1 week,August,08/13/2020 00:00:00,-0.53
1 week,August,08/14/2020 00:00:00,-0.526
1 week,August,08/17/2020 00:00:00,-0.538
1 week,August,08/18/2020 00:00:00,-0.534
1 week,August,08/19/2020 00:00:00,-0.535
1 week,August,08/20/2020 00:00:00,-0.538
1 week,August,08/21/2020 00:00:00,-0.533
1 week,August,08/24/2020 00:00:00,-0.54
1 week,August,08/25/2020 00:00:00,-0.53
1 week,August,08/26/2020 00:00:00,-0.538
1 week,August,08/27/2020 00:00:00,-0.529
1 week,August,08/28/2020 00:00:00,-0.538
1 week,August,08/31/2020 00:00:00,-0.54
1 week,September,09/01/2020 00:00:00,-0.529
1 week,September,09/02/2020 00:00:00,-0.53
1 week,September,09/03/2020 00:00:00,-0.532
1 week,September,09/04/2020 00:00:00,-0.53
1 week,September,09/07/2020 00:00:00,-0.536
1 week,September,09/08/2020 00:00:00,-0.536
1 week,September,09/09/2020 00:00:00,-0.54
1 week,September,09/10/2020 00:00:00,-0.538
1 week,September,09/11/2020 00:00:00,-0.53
1 week,September,09/14/2020 00:00:00,-0.535
1 week,September,09/15/2020 00:00:00,-0.539
1 week,September,09/16/2020 00:00:00,-0.539
1 week,September,09/17/2020 00:00:00,-0.538
1 week,September,09/18/2020 00:00:00,-0.534
1 week,September,09/21/2020 00:00:00,-0.539
1 week,September,09/22/2020 00:00:00,-0.533
1 week,September,09/23/2020 00:00:00,-0.541
1 week,September,09/24/2020 00:00:00,-0.536
1 week,September,09/25/2020 00:00:00,-0.53
1 week,September,09/28/2020 00:00:00,-0.545
1 week,September,09/29/2020 00:00:00,-0.543
1 week,September,09/30/2020 00:00:00,-0.547
1 week,October,10/01/2020 00:00:00,-0.555
1 week,October,10/02/2020 00:00:00,-0.537
1 week,October,10/05/2020 00:00:00,-0.539
1 week,October,10/06/2020 00:00:00,-0.541
1 week,October,10/07/2020 00:00:00,-0.546
1 week,October,10/08/2020 00:00:00,-0.544
1 week,October,10/09/2020 00:00:00,-0.538
1 week,October,10/12/2020 00:00:00,-0.542
