dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 week,January,01/12/2024 00:00:00,3.884
1 week,January,01/15/2024 00:00:00,3.88
1 week,January,01/16/2024 00:00:00,3.882
1 week,January,01/17/2024 00:00:00,3.886
1 week,January,01/18/2024 00:00:00,3.878
1 week,January,01/19/2024 00:00:00,3.858
1 week,January,01/22/2024 00:00:00,3.885
1 week,January,01/23/2024 00:00:00,3.882
1 week,January,01/24/2024 00:00:00,3.849
1 week,January,01/25/2024 00:00:00,3.851
1 week,January,01/26/2024 00:00:00,3.895
1 week,January,01/29/2024 00:00:00,3.878
1 week,January,01/30/2024 00:00:00,3.883
1 week,January,01/31/2024 00:00:00,3.832
1 week,February,02/01/2024 00:00:00,3.843
1 week,February,02/02/2024 00:00:00,3.877
1 week,February,02/05/2024 00:00:00,3.864
1 week,February,02/06/2024 00:00:00,3.876
1 week,February,02/07/2024 00:00:00,3.877
1 week,February,02/08/2024 00:00:00,3.888
1 week,February,02/09/2024 00:00:00,3.884
1 week,February,02/12/2024 00:00:00,3.876
1 week,February,02/13/2024 00:00:00,3.875
1 week,February,02/14/2024 00:00:00,3.875
1 week,February,02/15/2024 00:00:00,3.852
1 week,February,02/16/2024 00:00:00,3.882
1 week,February,02/19/2024 00:00:00,3.893
1 week,February,02/20/2024 00:00:00,3.886
1 week,February,02/21/2024 00:00:00,3.873
1 week,February,02/22/2024 00:00:00,3.86
1 week,February,02/23/2024 00:00:00,3.899
1 week,February,02/26/2024 00:00:00,3.907
1 week,February,02/27/2024 00:00:00,3.885
1 week,February,02/28/2024 00:00:00,3.878
1 week,February,02/29/2024 00:00:00,3.879
1 week,March,03/01/2024 00:00:00,3.872
1 week,March,03/04/2024 00:00:00,3.866
1 week,March,03/05/2024 00:00:00,3.881
1 week,March,03/06/2024 00:00:00,3.861
1 week,March,03/07/2024 00:00:00,3.87
1 week,March,03/08/2024 00:00:00,3.88
1 week,March,03/11/2024 00:00:00,3.893
1 week,March,03/12/2024 00:00:00,3.874
1 week,March,03/13/2024 00:00:00,3.884
1 week,March,03/14/2024 00:00:00,3.881
1 week,March,03/15/2024 00:00:00,3.89
1 week,March,03/18/2024 00:00:00,3.871
1 week,March,03/19/2024 00:00:00,3.875
1 week,March,03/20/2024 00:00:00,3.878
1 week,March,03/21/2024 00:00:00,3.868
1 week,March,03/22/2024 00:00:00,3.875
1 week,March,03/25/2024 00:00:00,3.885
1 week,March,03/26/2024 00:00:00,3.875
1 week,March,03/27/2024 00:00:00,3.835
1 week,March,03/28/2024 00:00:00,3.853
1 week,March,03/29/2024 00:00:00,3.853
1 week,April,04/01/2024 00:00:00,3.853
1 week,April,04/02/2024 00:00:00,3.87
1 week,April,04/03/2024 00:00:00,3.863
1 week,April,04/04/2024 00:00:00,3.875
1 week,April,04/05/2024 00:00:00,3.89
1 week,April,04/08/2024 00:00:00,3.888
1 week,April,04/09/2024 00:00:00,3.875
1 week,April,04/10/2024 00:00:00,3.879
1 week,April,04/11/2024 00:00:00,3.876
1 week,April,04/12/2024 00:00:00,3.88
1 week,April,04/15/2024 00:00:00,3.898
1 week,April,04/16/2024 00:00:00,3.863
1 week,April,04/17/2024 00:00:00,3.855
1 week,April,04/18/2024 00:00:00,3.865
1 week,April,04/19/2024 00:00:00,3.891
1 week,April,04/22/2024 00:00:00,3.866
1 week,April,04/23/2024 00:00:00,3.84
1 week,April,04/24/2024 00:00:00,3.851
1 week,April,04/25/2024 00:00:00,3.868
1 week,April,04/26/2024 00:00:00,3.883
1 week,April,04/29/2024 00:00:00,3.852
1 week,April,04/30/2024 00:00:00,3.802
1 month,November,11/01/2023 00:00:00,3.893
1 month,November,11/02/2023 00:00:00,3.883
1 month,November,11/03/2023 00:00:00,3.877
1 month,November,11/06/2023 00:00:00,3.86
1 month,November,11/07/2023 00:00:00,3.85
1 month,November,11/08/2023 00:00:00,3.858
1 month,November,11/09/2023 00:00:00,3.838
1 month,November,11/10/2023 00:00:00,3.834
1 month,November,11/13/2023 00:00:00,3.819
1 month,November,11/14/2023 00:00:00,3.822
1 month,November,11/15/2023 00:00:00,3.791
1 month,November,11/16/2023 00:00:00,3.839
1 month,November,11/17/2023 00:00:00,3.819
1 month,November,11/20/2023 00:00:00,3.822
1 month,November,11/21/2023 00:00:00,3.815
1 month,November,11/22/2023 00:00:00,3.818
1 month,November,11/23/2023 00:00:00,3.835
1 month,November,11/24/2023 00:00:00,3.805
1 month,November,11/27/2023 00:00:00,3.848
1 month,November,11/28/2023 00:00:00,3.847
1 month,November,11/29/2023 00:00:00,3.854
1 month,November,11/30/2023 00:00:00,3.868
1 month,December,12/01/2023 00:00:00,3.869
1 month,December,12/04/2023 00:00:00,3.855
1 month,December,12/05/2023 00:00:00,3.865
1 month,December,12/06/2023 00:00:00,3.859
1 month,December,12/07/2023 00:00:00,3.872
1 month,December,12/08/2023 00:00:00,3.853
1 month,December,12/11/2023 00:00:00,3.858
1 month,December,12/12/2023 00:00:00,3.862
1 month,December,12/13/2023 00:00:00,3.833
1 month,December,12/14/2023 00:00:00,3.844
1 month,December,12/15/2023 00:00:00,3.853
1 month,December,12/18/2023 00:00:00,3.859
1 month,December,12/19/2023 00:00:00,3.853
1 month,December,12/20/2023 00:00:00,3.859
1 month,December,12/21/2023 00:00:00,3.876
1 month,December,12/22/2023 00:00:00,3.865
1 month,December,12/27/2023 00:00:00,3.843
1 month,December,12/28/2023 00:00:00,3.872
1 month,December,12/29/2023 00:00:00,3.845
1 month,January,01/01/2024 00:00:00,3.845
1 month,January,01/02/2024 00:00:00,3.856
1 month,January,01/03/2024 00:00:00,3.865
1 month,January,01/04/2024 00:00:00,3.858
1 month,January,01/05/2024 00:00:00,3.878
1 month,January,01/08/2024 00:00:00,3.871
1 month,January,01/09/2024 00:00:00,3.867
1 month,January,01/10/2024 00:00:00,3.877
1 month,January,01/11/2024 00:00:00,3.88
1 month,January,01/12/2024 00:00:00,3.893
1 month,January,01/15/2024 00:00:00,3.868
1 month,January,01/16/2024 00:00:00,3.894
1 month,January,01/17/2024 00:00:00,3.875
1 month,January,01/18/2024 00:00:00,3.869
1 month,January,01/19/2024 00:00:00,3.854
1 month,January,01/22/2024 00:00:00,3.859
1 month,January,01/23/2024 00:00:00,3.869
1 month,January,01/24/2024 00:00:00,3.862
1 month,January,01/25/2024 00:00:00,3.868
1 month,January,01/26/2024 00:00:00,3.871
1 month,January,01/29/2024 00:00:00,3.853
1 month,January,01/30/2024 00:00:00,3.854
1 month,January,01/31/2024 00:00:00,3.877
1 month,February,02/01/2024 00:00:00,3.873
1 month,February,02/02/2024 00:00:00,3.864
1 month,February,02/05/2024 00:00:00,3.887
1 month,February,02/06/2024 00:00:00,3.893
1 month,February,02/07/2024 00:00:00,3.874
1 month,February,02/08/2024 00:00:00,3.873
1 month,February,02/09/2024 00:00:00,3.835
1 month,February,02/12/2024 00:00:00,3.882
1 month,February,02/13/2024 00:00:00,3.862
1 month,February,02/14/2024 00:00:00,3.871
1 month,February,02/15/2024 00:00:00,3.877
1 month,February,02/16/2024 00:00:00,3.881
1 month,February,02/19/2024 00:00:00,3.851
1 month,February,02/20/2024 00:00:00,3.895
1 month,February,02/21/2024 00:00:00,3.886
1 month,February,02/22/2024 00:00:00,3.864
1 month,February,02/23/2024 00:00:00,3.851
1 month,February,02/26/2024 00:00:00,3.843
1 month,February,02/27/2024 00:00:00,3.855
1 month,February,02/28/2024 00:00:00,3.856
1 month,February,02/29/2024 00:00:00,3.865
1 month,March,03/01/2024 00:00:00,3.817
1 month,March,03/04/2024 00:00:00,3.839
1 month,March,03/05/2024 00:00:00,3.868
1 month,March,03/06/2024 00:00:00,3.865
1 month,March,03/07/2024 00:00:00,3.868
1 month,March,03/08/2024 00:00:00,3.878
1 month,March,03/11/2024 00:00:00,3.871
1 month,March,03/12/2024 00:00:00,3.847
1 month,March,03/13/2024 00:00:00,3.859
1 month,March,03/14/2024 00:00:00,3.843
1 month,March,03/15/2024 00:00:00,3.862
1 month,March,03/18/2024 00:00:00,3.855
1 month,March,03/19/2024 00:00:00,3.862
1 month,March,03/20/2024 00:00:00,3.862
1 month,March,03/21/2024 00:00:00,3.848
1 month,March,03/22/2024 00:00:00,3.853
1 month,March,03/25/2024 00:00:00,3.842
1 month,March,03/26/2024 00:00:00,3.83
1 month,March,03/27/2024 00:00:00,3.835
1 month,March,03/28/2024 00:00:00,3.855
1 month,March,03/29/2024 00:00:00,3.855
1 month,April,04/01/2024 00:00:00,3.855
1 month,April,04/02/2024 00:00:00,3.855
1 month,April,04/03/2024 00:00:00,3.852
1 month,April,04/04/2024 00:00:00,3.877
1 month,April,04/05/2024 00:00:00,3.888
1 month,April,04/08/2024 00:00:00,3.877
1 month,April,04/09/2024 00:00:00,3.837
1 month,April,04/10/2024 00:00:00,3.854
1 month,April,04/11/2024 00:00:00,3.879
1 month,April,04/12/2024 00:00:00,3.836
1 month,April,04/15/2024 00:00:00,3.846
1 month,April,04/16/2024 00:00:00,3.855
1 month,April,04/17/2024 00:00:00,3.828
1 month,April,04/18/2024 00:00:00,3.855
1 month,April,04/19/2024 00:00:00,3.837
1 month,April,04/22/2024 00:00:00,3.819
1 month,April,04/23/2024 00:00:00,3.815
1 month,April,04/24/2024 00:00:00,3.852
1 month,April,04/25/2024 00:00:00,3.862
1 month,April,04/26/2024 00:00:00,3.848
1 month,April,04/29/2024 00:00:00,3.858
1 month,April,04/30/2024 00:00:00,3.873
3 month,November,11/01/2023 00:00:00,3.953
3 month,November,11/02/2023 00:00:00,3.974
3 month,November,11/03/2023 00:00:00,3.956
3 month,November,11/06/2023 00:00:00,3.963
3 month,November,11/07/2023 00:00:00,3.966
3 month,November,11/08/2023 00:00:00,3.973
3 month,November,11/09/2023 00:00:00,3.987
3 month,November,11/10/2023 00:00:00,3.992
3 month,November,11/13/2023 00:00:00,4.002
3 month,November,11/14/2023 00:00:00,3.997
3 month,November,11/15/2023 00:00:00,3.994
3 month,November,11/16/2023 00:00:00,4.002
3 month,November,11/17/2023 00:00:00,3.984
3 month,November,11/20/2023 00:00:00,3.962
3 month,November,11/21/2023 00:00:00,3.973
3 month,November,11/22/2023 00:00:00,3.962
3 month,November,11/23/2023 00:00:00,3.956
3 month,November,11/24/2023 00:00:00,3.935
3 month,November,11/27/2023 00:00:00,3.951
3 month,November,11/28/2023 00:00:00,3.955
3 month,November,11/29/2023 00:00:00,3.975
3 month,November,11/30/2023 00:00:00,3.964
3 month,December,12/01/2023 00:00:00,3.96
3 month,December,12/04/2023 00:00:00,3.962
3 month,December,12/05/2023 00:00:00,3.958
3 month,December,12/06/2023 00:00:00,3.95
3 month,December,12/07/2023 00:00:00,3.969
3 month,December,12/08/2023 00:00:00,3.95
3 month,December,12/11/2023 00:00:00,3.958
3 month,December,12/12/2023 00:00:00,3.928
3 month,December,12/13/2023 00:00:00,3.925
3 month,December,12/14/2023 00:00:00,3.932
3 month,December,12/15/2023 00:00:00,3.92
3 month,December,12/18/2023 00:00:00,3.938
3 month,December,12/19/2023 00:00:00,3.923
3 month,December,12/20/2023 00:00:00,3.916
3 month,December,12/21/2023 00:00:00,3.916
3 month,December,12/22/2023 00:00:00,3.931
3 month,December,12/27/2023 00:00:00,3.925
3 month,December,12/28/2023 00:00:00,3.893
3 month,December,12/29/2023 00:00:00,3.909
3 month,January,01/01/2024 00:00:00,3.909
3 month,January,01/02/2024 00:00:00,3.905
3 month,January,01/03/2024 00:00:00,3.929
3 month,January,01/04/2024 00:00:00,3.922
3 month,January,01/05/2024 00:00:00,3.936
3 month,January,01/08/2024 00:00:00,3.925
3 month,January,01/09/2024 00:00:00,3.928
3 month,January,01/10/2024 00:00:00,3.936
3 month,January,01/11/2024 00:00:00,3.942
3 month,January,01/12/2024 00:00:00,3.932
3 month,January,01/15/2024 00:00:00,3.928
3 month,January,01/16/2024 00:00:00,3.894
3 month,January,01/17/2024 00:00:00,3.903
3 month,January,01/18/2024 00:00:00,3.97
3 month,January,01/19/2024 00:00:00,3.958
3 month,January,01/22/2024 00:00:00,3.945
3 month,January,01/23/2024 00:00:00,3.948
3 month,January,01/24/2024 00:00:00,3.929
3 month,January,01/25/2024 00:00:00,3.925
3 month,January,01/26/2024 00:00:00,3.887
3 month,January,01/29/2024 00:00:00,3.912
3 month,January,01/30/2024 00:00:00,3.897
3 month,January,01/31/2024 00:00:00,3.905
3 month,February,02/01/2024 00:00:00,3.884
3 month,February,02/02/2024 00:00:00,3.9
3 month,February,02/05/2024 00:00:00,3.922
3 month,February,02/06/2024 00:00:00,3.932
3 month,February,02/07/2024 00:00:00,3.895
3 month,February,02/08/2024 00:00:00,3.898
3 month,February,02/09/2024 00:00:00,3.891
3 month,February,02/12/2024 00:00:00,3.912
3 month,February,02/13/2024 00:00:00,3.901
3 month,February,02/14/2024 00:00:00,3.922
3 month,February,02/15/2024 00:00:00,3.915
3 month,February,02/16/2024 00:00:00,3.933
3 month,February,02/19/2024 00:00:00,3.932
3 month,February,02/20/2024 00:00:00,3.943
3 month,February,02/21/2024 00:00:00,3.946
3 month,February,02/22/2024 00:00:00,3.945
3 month,February,02/23/2024 00:00:00,3.933
3 month,February,02/26/2024 00:00:00,3.952
3 month,February,02/27/2024 00:00:00,3.952
3 month,February,02/28/2024 00:00:00,3.942
3 month,February,02/29/2024 00:00:00,3.937
3 month,March,03/01/2024 00:00:00,3.938
3 month,March,03/04/2024 00:00:00,3.932
3 month,March,03/05/2024 00:00:00,3.926
3 month,March,03/06/2024 00:00:00,3.942
3 month,March,03/07/2024 00:00:00,3.929
3 month,March,03/08/2024 00:00:00,3.94
3 month,March,03/11/2024 00:00:00,3.928
3 month,March,03/12/2024 00:00:00,3.929
3 month,March,03/13/2024 00:00:00,3.94
3 month,March,03/14/2024 00:00:00,3.928
3 month,March,03/15/2024 00:00:00,3.928
3 month,March,03/18/2024 00:00:00,3.928
3 month,March,03/19/2024 00:00:00,3.935
3 month,March,03/20/2024 00:00:00,3.922
3 month,March,03/21/2024 00:00:00,3.926
3 month,March,03/22/2024 00:00:00,3.903
3 month,March,03/25/2024 00:00:00,3.886
3 month,March,03/26/2024 00:00:00,3.902
3 month,March,03/27/2024 00:00:00,3.908
3 month,March,03/28/2024 00:00:00,3.892
3 month,March,03/29/2024 00:00:00,3.892
3 month,April,04/01/2024 00:00:00,3.892
3 month,April,04/02/2024 00:00:00,3.883
3 month,April,04/03/2024 00:00:00,3.857
3 month,April,04/04/2024 00:00:00,3.891
3 month,April,04/05/2024 00:00:00,3.885
3 month,April,04/08/2024 00:00:00,3.902
3 month,April,04/09/2024 00:00:00,3.916
3 month,April,04/10/2024 00:00:00,3.912
3 month,April,04/11/2024 00:00:00,3.906
3 month,April,04/12/2024 00:00:00,3.923
3 month,April,04/15/2024 00:00:00,3.888
3 month,April,04/16/2024 00:00:00,3.904
3 month,April,04/17/2024 00:00:00,3.895
3 month,April,04/18/2024 00:00:00,3.897
3 month,April,04/19/2024 00:00:00,3.892
3 month,April,04/22/2024 00:00:00,3.891
3 month,April,04/23/2024 00:00:00,3.882
3 month,April,04/24/2024 00:00:00,3.879
3 month,April,04/25/2024 00:00:00,3.864
3 month,April,04/26/2024 00:00:00,3.865
3 month,April,04/29/2024 00:00:00,3.835
3 month,April,04/30/2024 00:00:00,3.825
6 month,November,11/01/2023 00:00:00,4.081
6 month,November,11/02/2023 00:00:00,4.072
6 month,November,11/03/2023 00:00:00,4.062
6 month,November,11/06/2023 00:00:00,4.066
6 month,November,11/07/2023 00:00:00,4.072
6 month,November,11/08/2023 00:00:00,4.066
6 month,November,11/09/2023 00:00:00,4.055
6 month,November,11/10/2023 00:00:00,4.074
6 month,November,11/13/2023 00:00:00,4.085
6 month,November,11/14/2023 00:00:00,4.097
6 month,November,11/15/2023 00:00:00,4.076
6 month,November,11/16/2023 00:00:00,4.071
6 month,November,11/17/2023 00:00:00,4.064
6 month,November,11/20/2023 00:00:00,4.058
6 month,November,11/21/2023 00:00:00,4.07
6 month,November,11/22/2023 00:00:00,4.063
6 month,November,11/23/2023 00:00:00,4.062
6 month,November,11/24/2023 00:00:00,4.074
6 month,November,11/27/2023 00:00:00,4.05
6 month,November,11/28/2023 00:00:00,4.026
6 month,November,11/29/2023 00:00:00,4.05
6 month,November,11/30/2023 00:00:00,4.029
6 month,December,12/01/2023 00:00:00,4.004
6 month,December,12/04/2023 00:00:00,3.945
6 month,December,12/05/2023 00:00:00,3.953
6 month,December,12/06/2023 00:00:00,3.95
6 month,December,12/07/2023 00:00:00,3.948
6 month,December,12/08/2023 00:00:00,3.935
6 month,December,12/11/2023 00:00:00,3.955
6 month,December,12/12/2023 00:00:00,3.96
6 month,December,12/13/2023 00:00:00,3.945
6 month,December,12/14/2023 00:00:00,3.938
6 month,December,12/15/2023 00:00:00,3.912
6 month,December,12/18/2023 00:00:00,3.904
6 month,December,12/19/2023 00:00:00,3.922
6 month,December,12/20/2023 00:00:00,3.924
6 month,December,12/21/2023 00:00:00,3.899
6 month,December,12/22/2023 00:00:00,3.895
6 month,December,12/27/2023 00:00:00,3.885
6 month,December,12/28/2023 00:00:00,3.877
6 month,December,12/29/2023 00:00:00,3.861
6 month,January,01/01/2024 00:00:00,3.861
6 month,January,01/02/2024 00:00:00,3.861
6 month,January,01/03/2024 00:00:00,3.882
6 month,January,01/04/2024 00:00:00,3.873
6 month,January,01/05/2024 00:00:00,3.912
6 month,January,01/08/2024 00:00:00,3.929
6 month,January,01/09/2024 00:00:00,3.891
6 month,January,01/10/2024 00:00:00,3.902
6 month,January,01/11/2024 00:00:00,3.92
6 month,January,01/12/2024 00:00:00,3.896
6 month,January,01/15/2024 00:00:00,3.874
6 month,January,01/16/2024 00:00:00,3.867
6 month,January,01/17/2024 00:00:00,3.862
6 month,January,01/18/2024 00:00:00,3.928
6 month,January,01/19/2024 00:00:00,3.908
6 month,January,01/22/2024 00:00:00,3.925
6 month,January,01/23/2024 00:00:00,3.944
6 month,January,01/24/2024 00:00:00,3.922
6 month,January,01/25/2024 00:00:00,3.911
6 month,January,01/26/2024 00:00:00,3.873
6 month,January,01/29/2024 00:00:00,3.866
6 month,January,01/30/2024 00:00:00,3.836
6 month,January,01/31/2024 00:00:00,3.835
6 month,February,02/01/2024 00:00:00,3.832
6 month,February,02/02/2024 00:00:00,3.837
6 month,February,02/05/2024 00:00:00,3.905
6 month,February,02/06/2024 00:00:00,3.922
6 month,February,02/07/2024 00:00:00,3.899
6 month,February,02/08/2024 00:00:00,3.888
6 month,February,02/09/2024 00:00:00,3.898
6 month,February,02/12/2024 00:00:00,3.908
6 month,February,02/13/2024 00:00:00,3.882
6 month,February,02/14/2024 00:00:00,3.903
6 month,February,02/15/2024 00:00:00,3.925
6 month,February,02/16/2024 00:00:00,3.895
6 month,February,02/19/2024 00:00:00,3.915
6 month,February,02/20/2024 00:00:00,3.928
6 month,February,02/21/2024 00:00:00,3.911
6 month,February,02/22/2024 00:00:00,3.907
6 month,February,02/23/2024 00:00:00,3.914
6 month,February,02/26/2024 00:00:00,3.901
6 month,February,02/27/2024 00:00:00,3.918
6 month,February,02/28/2024 00:00:00,3.915
6 month,February,02/29/2024 00:00:00,3.908
6 month,March,03/01/2024 00:00:00,3.912
6 month,March,03/04/2024 00:00:00,3.915
6 month,March,03/05/2024 00:00:00,3.921
6 month,March,03/06/2024 00:00:00,3.902
6 month,March,03/07/2024 00:00:00,3.912
6 month,March,03/08/2024 00:00:00,3.902
6 month,March,03/11/2024 00:00:00,3.892
6 month,March,03/12/2024 00:00:00,3.905
6 month,March,03/13/2024 00:00:00,3.892
6 month,March,03/14/2024 00:00:00,3.903
6 month,March,03/15/2024 00:00:00,3.908
6 month,March,03/18/2024 00:00:00,3.915
6 month,March,03/19/2024 00:00:00,3.909
6 month,March,03/20/2024 00:00:00,3.906
6 month,March,03/21/2024 00:00:00,3.902
6 month,March,03/22/2024 00:00:00,3.874
6 month,March,03/25/2024 00:00:00,3.855
6 month,March,03/26/2024 00:00:00,3.858
6 month,March,03/27/2024 00:00:00,3.862
6 month,March,03/28/2024 00:00:00,3.851
6 month,March,03/29/2024 00:00:00,3.851
6 month,April,04/01/2024 00:00:00,3.851
6 month,April,04/02/2024 00:00:00,3.842
6 month,April,04/03/2024 00:00:00,3.822
6 month,April,04/04/2024 00:00:00,3.844
6 month,April,04/05/2024 00:00:00,3.834
6 month,April,04/08/2024 00:00:00,3.846
6 month,April,04/09/2024 00:00:00,3.868
6 month,April,04/10/2024 00:00:00,3.83
6 month,April,04/11/2024 00:00:00,3.862
6 month,April,04/12/2024 00:00:00,3.865
6 month,April,04/15/2024 00:00:00,3.82
6 month,April,04/16/2024 00:00:00,3.842
6 month,April,04/17/2024 00:00:00,3.842
6 month,April,04/18/2024 00:00:00,3.843
6 month,April,04/19/2024 00:00:00,3.846
6 month,April,04/22/2024 00:00:00,3.85
6 month,April,04/23/2024 00:00:00,3.844
6 month,April,04/24/2024 00:00:00,3.833
6 month,April,04/25/2024 00:00:00,3.825
6 month,April,04/26/2024 00:00:00,3.835
6 month,April,04/29/2024 00:00:00,3.815
6 month,April,04/30/2024 00:00:00,3.795
12 month,November,11/01/2023 00:00:00,4.044
12 month,November,11/02/2023 00:00:00,4.012
12 month,November,11/03/2023 00:00:00,4.004
12 month,November,11/06/2023 00:00:00,4.022
12 month,November,11/07/2023 00:00:00,4.028
12 month,November,11/08/2023 00:00:00,4.027
12 month,November,11/09/2023 00:00:00,4.028
12 month,November,11/10/2023 00:00:00,4.04
12 month,November,11/13/2023 00:00:00,4.04
12 month,November,11/14/2023 00:00:00,4.064
12 month,November,11/15/2023 00:00:00,4.028
12 month,November,11/16/2023 00:00:00,4.033
12 month,November,11/17/2023 00:00:00,3.991
12 month,November,11/20/2023 00:00:00,4.015
12 month,November,11/21/2023 00:00:00,4.023
12 month,November,11/22/2023 00:00:00,4.016
12 month,November,11/23/2023 00:00:00,4.034
12 month,November,11/24/2023 00:00:00,4.056
12 month,November,11/27/2023 00:00:00,4.057
12 month,November,11/28/2023 00:00:00,4.015
12 month,November,11/29/2023 00:00:00,3.983
12 month,November,11/30/2023 00:00:00,3.926
12 month,December,12/01/2023 00:00:00,3.902
12 month,December,12/04/2023 00:00:00,3.794
12 month,December,12/05/2023 00:00:00,3.785
12 month,December,12/06/2023 00:00:00,3.728
12 month,December,12/07/2023 00:00:00,3.727
12 month,December,12/08/2023 00:00:00,3.725
12 month,December,12/11/2023 00:00:00,3.751
12 month,December,12/12/2023 00:00:00,3.754
12 month,December,12/13/2023 00:00:00,3.758
12 month,December,12/14/2023 00:00:00,3.719
12 month,December,12/15/2023 00:00:00,3.644
12 month,December,12/18/2023 00:00:00,3.613
12 month,December,12/19/2023 00:00:00,3.635
12 month,December,12/20/2023 00:00:00,3.602
12 month,December,12/21/2023 00:00:00,3.582
12 month,December,12/22/2023 00:00:00,3.581
12 month,December,12/27/2023 00:00:00,3.554
12 month,December,12/28/2023 00:00:00,3.536
12 month,December,12/29/2023 00:00:00,3.513
12 month,January,01/01/2024 00:00:00,3.513
12 month,January,01/02/2024 00:00:00,3.532
12 month,January,01/03/2024 00:00:00,3.545
12 month,January,01/04/2024 00:00:00,3.544
12 month,January,01/05/2024 00:00:00,3.584
12 month,January,01/08/2024 00:00:00,3.616
12 month,January,01/09/2024 00:00:00,3.601
12 month,January,01/10/2024 00:00:00,3.635
12 month,January,01/11/2024 00:00:00,3.654
12 month,January,01/12/2024 00:00:00,3.636
12 month,January,01/15/2024 00:00:00,3.57
12 month,January,01/16/2024 00:00:00,3.596
12 month,January,01/17/2024 00:00:00,3.596
12 month,January,01/18/2024 00:00:00,3.66
12 month,January,01/19/2024 00:00:00,3.655
12 month,January,01/22/2024 00:00:00,3.672
12 month,January,01/23/2024 00:00:00,3.665
12 month,January,01/24/2024 00:00:00,3.676
12 month,January,01/25/2024 00:00:00,3.662
12 month,January,01/26/2024 00:00:00,3.597
12 month,January,01/29/2024 00:00:00,3.582
12 month,January,01/30/2024 00:00:00,3.553
12 month,January,01/31/2024 00:00:00,3.572
12 month,February,02/01/2024 00:00:00,3.505
12 month,February,02/02/2024 00:00:00,3.537
12 month,February,02/05/2024 00:00:00,3.633
12 month,February,02/06/2024 00:00:00,3.667
12 month,February,02/07/2024 00:00:00,3.656
12 month,February,02/08/2024 00:00:00,3.64
12 month,February,02/09/2024 00:00:00,3.658
12 month,February,02/12/2024 00:00:00,3.678
12 month,February,02/13/2024 00:00:00,3.655
12 month,February,02/14/2024 00:00:00,3.692
12 month,February,02/15/2024 00:00:00,3.662
12 month,February,02/16/2024 00:00:00,3.648
12 month,February,02/19/2024 00:00:00,3.67
12 month,February,02/20/2024 00:00:00,3.686
12 month,February,02/21/2024 00:00:00,3.695
12 month,February,02/22/2024 00:00:00,3.697
12 month,February,02/23/2024 00:00:00,3.738
12 month,February,02/26/2024 00:00:00,3.732
