dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 week,November,11/01/2023 00:00:00,3.868
1 week,November,11/02/2023 00:00:00,3.885
1 week,November,11/03/2023 00:00:00,3.887
1 week,November,11/06/2023 00:00:00,3.865
1 week,November,11/07/2023 00:00:00,3.891
1 week,November,11/08/2023 00:00:00,3.878
1 week,November,11/09/2023 00:00:00,3.892
1 week,November,11/10/2023 00:00:00,3.896
1 week,November,11/13/2023 00:00:00,3.875
1 week,November,11/14/2023 00:00:00,3.846
1 week,November,11/15/2023 00:00:00,3.865
1 week,November,11/16/2023 00:00:00,3.875
1 week,November,11/17/2023 00:00:00,3.871
1 week,November,11/20/2023 00:00:00,3.841
1 week,November,11/21/2023 00:00:00,3.887
1 week,November,11/22/2023 00:00:00,3.887
1 week,November,11/23/2023 00:00:00,3.89
1 week,November,11/24/2023 00:00:00,3.895
1 week,November,11/27/2023 00:00:00,3.873
1 week,November,11/28/2023 00:00:00,3.852
1 week,November,11/29/2023 00:00:00,3.862
1 week,November,11/30/2023 00:00:00,3.838
1 week,December,12/01/2023 00:00:00,3.839
1 week,December,12/04/2023 00:00:00,3.887
1 week,December,12/05/2023 00:00:00,3.849
1 week,December,12/06/2023 00:00:00,3.84
1 week,December,12/07/2023 00:00:00,3.865
1 week,December,12/08/2023 00:00:00,3.843
1 week,December,12/11/2023 00:00:00,3.845
1 week,December,12/12/2023 00:00:00,3.858
1 week,December,12/13/2023 00:00:00,3.854
1 week,December,12/14/2023 00:00:00,3.835
1 week,December,12/15/2023 00:00:00,3.877
1 week,December,12/18/2023 00:00:00,3.835
1 week,December,12/19/2023 00:00:00,3.865
1 week,December,12/20/2023 00:00:00,3.848
1 week,December,12/21/2023 00:00:00,3.852
1 week,December,12/22/2023 00:00:00,3.872
1 week,December,12/27/2023 00:00:00,3.857
1 week,December,12/28/2023 00:00:00,3.883
1 week,December,12/29/2023 00:00:00,3.9
1 week,January,01/01/2024 00:00:00,3.9
1 week,January,01/02/2024 00:00:00,3.848
1 week,January,01/03/2024 00:00:00,3.887
1 week,January,01/04/2024 00:00:00,3.872
1 week,January,01/05/2024 00:00:00,3.892
1 week,January,01/08/2024 00:00:00,3.888
1 week,January,01/09/2024 00:00:00,3.869
1 week,January,01/10/2024 00:00:00,3.872
1 week,January,01/11/2024 00:00:00,3.871
