dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 week,November,11/01/2022 00:00:00,1.159
1 week,November,11/02/2022 00:00:00,1.331
1 week,November,11/03/2022 00:00:00,1.382
1 week,November,11/04/2022 00:00:00,1.385
1 week,November,11/07/2022 00:00:00,1.385
1 week,November,11/08/2022 00:00:00,1.378
1 week,November,11/09/2022 00:00:00,1.393
1 week,November,11/10/2022 00:00:00,1.391
1 week,November,11/11/2022 00:00:00,1.372
1 week,November,11/14/2022 00:00:00,1.392
1 week,November,11/15/2022 00:00:00,1.388
1 week,November,11/16/2022 00:00:00,1.382
1 week,November,11/17/2022 00:00:00,1.386
1 week,November,11/18/2022 00:00:00,1.392
1 week,November,11/21/2022 00:00:00,1.399
1 week,November,11/22/2022 00:00:00,1.406
1 week,November,11/23/2022 00:00:00,1.38
1 week,November,11/24/2022 00:00:00,1.364
1 week,November,11/25/2022 00:00:00,1.388
1 week,November,11/28/2022 00:00:00,1.397
1 week,November,11/29/2022 00:00:00,1.397
1 week,November,11/30/2022 00:00:00,1.408
1 week,December,12/01/2022 00:00:00,1.398
1 week,December,12/02/2022 00:00:00,1.398
1 week,December,12/05/2022 00:00:00,1.398
1 week,December,12/06/2022 00:00:00,1.372
1 week,December,12/07/2022 00:00:00,1.416
1 week,December,12/08/2022 00:00:00,1.398
1 week,December,12/09/2022 00:00:00,1.416
1 week,December,12/12/2022 00:00:00,1.415
1 week,December,12/13/2022 00:00:00,1.403
1 week,December,12/14/2022 00:00:00,1.432
1 week,December,12/15/2022 00:00:00,1.468
1 week,December,12/16/2022 00:00:00,1.542
1 week,December,12/19/2022 00:00:00,1.6
1 week,December,12/20/2022 00:00:00,1.774
1 week,December,12/21/2022 00:00:00,1.804
1 week,December,12/22/2022 00:00:00,1.902
1 week,December,12/23/2022 00:00:00,1.885
1 week,December,12/27/2022 00:00:00,1.885
1 week,December,12/28/2022 00:00:00,1.841
1 week,December,12/29/2022 00:00:00,1.882
1 week,December,12/30/2022 00:00:00,1.872
1 week,January,01/02/2023 00:00:00,1.876
1 week,January,01/03/2023 00:00:00,1.838
1 week,January,01/04/2023 00:00:00,1.882
1 week,January,01/05/2023 00:00:00,1.878
1 week,January,01/06/2023 00:00:00,1.89
1 week,January,01/09/2023 00:00:00,1.882
1 week,January,01/10/2023 00:00:00,1.889
1 week,January,01/11/2023 00:00:00,1.879
1 week,January,01/12/2023 00:00:00,1.886
1 week,January,01/13/2023 00:00:00,1.895
1 week,January,01/16/2023 00:00:00,1.904
1 week,January,01/17/2023 00:00:00,1.895
1 week,January,01/18/2023 00:00:00,1.887
1 week,January,01/19/2023 00:00:00,1.905
1 week,January,01/20/2023 00:00:00,1.899
1 week,January,01/23/2023 00:00:00,1.893
1 week,January,01/24/2023 00:00:00,1.893
1 week,January,01/25/2023 00:00:00,1.894
1 week,January,01/26/2023 00:00:00,1.899
1 week,January,01/27/2023 00:00:00,1.884
1 week,January,01/30/2023 00:00:00,1.894
1 week,January,01/31/2023 00:00:00,1.895
1 week,February,02/01/2023 00:00:00,1.907
1 week,February,02/02/2023 00:00:00,1.97
1 week,February,02/03/2023 00:00:00,2.107
1 week,February,02/06/2023 00:00:00,2.148
1 week,February,02/07/2023 00:00:00,2.291
1 week,February,02/08/2023 00:00:00,2.342
1 week,February,02/09/2023 00:00:00,2.382
1 week,February,02/10/2023 00:00:00,2.359
1 week,February,02/13/2023 00:00:00,2.379
1 week,February,02/14/2023 00:00:00,2.342
1 week,February,02/15/2023 00:00:00,2.379
1 week,February,02/16/2023 00:00:00,2.387
1 week,February,02/17/2023 00:00:00,2.345
1 week,February,02/20/2023 00:00:00,2.393
1 week,February,02/21/2023 00:00:00,2.375
1 week,February,02/22/2023 00:00:00,2.386
1 week,February,02/23/2023 00:00:00,2.392
1 week,February,02/24/2023 00:00:00,2.379
1 week,February,02/27/2023 00:00:00,2.344
1 week,February,02/28/2023 00:00:00,2.339
1 week,March,03/01/2023 00:00:00,2.368
1 week,March,03/02/2023 00:00:00,2.365
1 week,March,03/03/2023 00:00:00,2.393
1 week,March,03/06/2023 00:00:00,2.381
1 week,March,03/07/2023 00:00:00,2.348
1 week,March,03/08/2023 00:00:00,2.382
1 week,March,03/09/2023 00:00:00,2.373
1 week,March,03/10/2023 00:00:00,2.378
1 week,March,03/13/2023 00:00:00,2.378
1 week,March,03/14/2023 00:00:00,2.317
1 week,March,03/15/2023 00:00:00,2.415
1 week,March,03/16/2023 00:00:00,2.424
1 week,March,03/17/2023 00:00:00,2.482
1 week,March,03/20/2023 00:00:00,2.565
1 week,March,03/21/2023 00:00:00,2.712
1 week,March,03/22/2023 00:00:00,2.827
1 week,March,03/23/2023 00:00:00,2.854
1 week,March,03/24/2023 00:00:00,2.878
1 week,March,03/27/2023 00:00:00,2.879
1 week,March,03/28/2023 00:00:00,2.787
1 week,March,03/29/2023 00:00:00,2.9
1 week,March,03/30/2023 00:00:00,2.866
1 week,March,03/31/2023 00:00:00,2.898
1 week,April,04/03/2023 00:00:00,2.895
1 week,April,04/04/2023 00:00:00,2.876
1 week,April,04/05/2023 00:00:00,2.875
1 week,April,04/06/2023 00:00:00,2.886
1 week,April,04/11/2023 00:00:00,2.902
1 week,April,04/12/2023 00:00:00,2.862
1 week,April,04/13/2023 00:00:00,2.862
1 week,April,04/14/2023 00:00:00,2.894
1 week,April,04/17/2023 00:00:00,2.882
1 week,April,04/18/2023 00:00:00,2.9
1 week,April,04/19/2023 00:00:00,2.87
1 week,April,04/20/2023 00:00:00,2.878
1 week,April,04/21/2023 00:00:00,2.886
1 week,April,04/24/2023 00:00:00,2.882
1 week,April,04/25/2023 00:00:00,2.905
1 week,April,04/26/2023 00:00:00,2.88
1 week,April,04/27/2023 00:00:00,2.888
1 week,April,04/28/2023 00:00:00,2.872
